tree_id,sentence,has_trace,n_deps
0,so you can put it in a notebook if you like.,True,1
1,what happened?,True,1
2,you didn't.,False,0
3,shall we look at these first?,False,0
4,it's a watch.,False,0
5,what is it?,True,1
6,what?,False,0
7,where?,False,0
8,you could use the paper.,False,0
9,"you don't need to make it so long, Adam.",False,0
10,thank you.,False,0
11,what color is this?,True,1
12,"no, he cann't have one.",False,0
13,he's too little.,False,0
14,you going to tell her a story?,False,0
15,alright.,False,0
16,"no, that's alright, Adam.",False,0
17,"she doesn't have any games in that one, Adam.",False,0
18,"what is that, Adam?",True,1
19,it's a what?,False,0
20,may I see it?,False,0
21,it's a mirror?,False,0
22,what do you see in the mirror?,True,1
23,"here, take it back to Ursula.",False,0
24,it's a watch?,False,0
25,what kind of watch?,False,0
26,yes.,False,0
27,does it look like Daddy's watch?,False,0
28,it looks like Daddy's watch?,False,0
29,oh.,False,0
30,no.,False,0
31,it doesn't have a band.,False,0
32,hmm?,False,0
33,maybe it's in here.,False,0
34,"oh, what're you going to do?",True,1
35,"oh, I see.",False,0
36,"oh, I see.",False,0
37,"ok, I'll hold it.",False,0
38,it willn't stay there.,False,0
39,you'd better take it back to Ursula.,False,0
40,you've never seen a watch?,False,0
41,"oh, that's not a chair.",False,0
42,at least not like that anyway.,False,0
43,I think you'd better take the watch back to Ursula.,False,0
44,you have to be careful or it willn't work properly.,False,0
45,"Adam, let me see.",False,0
46,how did you attach that?,True,1
47,that's good.,False,0
48,shall we put this away and find something else?,False,0
49,we could put this in the box.,False,0
50,what is it?,True,1
51,"careful, Adam.",False,0
52,show your Mother and ask her if it's safe.,True,1
53,I don't think so.,False,0
54,I know what you can do.,True,1
55,just take one paper and then find one that you'd like to make.,True,1
56,why don't you use some of the other tape that Ursula gave you?,True,2
57,why don't you use some of this?,True,1
58,not cut it off.,False,0
59,"no, look.",False,0
60,cut it off on there.,False,0
61,that's right.,False,0
62,that's a little cutting edge.,False,0
63,"well, cut it off.",False,0
64,"no no, don't use it all at one time, honey.",False,0
65,I 'm helping you cut it.,False,0
66,see there where your finger is?,True,1
67,put it there and then you cut it.,False,0
68,"oh no, I don't think we want a road, do we?",False,0
69,"here, let's make it right here.",False,0
70,that's good.,False,0
71,"oh, another one.",False,0
72,why?,False,0
73,"Adam, shall I help you cut it off?",False,0
74,"that's enough, Adam.",False,0
75,alright.,False,0
76,do you want to stand up there?,False,0
77,"oh no, we can make one that's big enough right here.",True,1
78,what's my name?,True,1
79,I didn't think it was.,False,0
80,"no no, dear, we don't use that kind of tape.",False,0
81,you're going to have to take some pennies out of your bank and give,False,0
82,do you know that?,False,0
83,"oh, I 'm sorry.",False,0
84,I was crossing the street.,False,0
85,I was crossing the street.,False,0
86,what?,False,0
87,how will I get to the other side?,True,1
88,yes.,False,0
89,what do you have to do when you cross the street?,True,2
90,"that's right, you look both ways.",False,0
91,"no, you don't kick cars, do you?",False,0
92,because you'll injure yourself and you'll hurt the car.,False,0
93,tell you a story?,False,0
94,why don't you tell us a story?,True,1
95,tell Ursula where you went yesterday.,True,1
96,where did you see boats?,True,1
97,where were you?,True,1
98,what else did you see.,True,1
99,some kind of bug.,False,0
100,you willn't have any more tape.,False,0
