tree_id,sentence,has_trace,n_deps,final_labels_str
0,you more cookies?,False,0,NONE
1,how about another graham cracker?,False,0,NONE
2,would that do just as well?,False,0,NONE
3,here.,False,0,NONE
4,here you go.,False,0,NONE
5,you have another cookie right on the table.,False,0,NONE
6,more juice?,False,0,NONE
7,would you like more grape juice?,False,0,NONE
8,where's your cup?,True,1,MQ_ADJUNCT
9,"oh, I took it.",False,0,NONE
10,I think that was Fraser.,False,0,NONE
11,I 'm not sure.,False,0,NONE
12,what?,False,0,NONE
13,are you saying Fraser?,False,0,NONE
14,Mr Fraser?,False,0,NONE
15,"yes, that's much better.",False,0,NONE
16,Mr Fraser?,False,0,NONE
17,what is that?,True,1,MQ_OBJ
18,huh?,False,0,NONE
19,what is that?,True,1,MQ_OBJ
20,"yes, a fly.",False,0,NONE
21,why don't you go in the room and kill a fly?,True,1,MQ_ADJUNCT
22,you go in the room and kill a fly.,False,0,NONE
23,"yes, you get a fly.",False,0,NONE
24,you get one.,False,0,NONE
25,are you finished with your juice?,False,0,NONE
26,"well, go and get your telephone.",False,0,NONE
27,"yes, he gave you your telephone.",False,0,NONE
28,"who are you calling, Eve?",True,1,MQ_OBJ
29,who?,False,0,NONE
30,what's that *NULL* you're doing?,True,2,MQ_OBJ;RC_OBJ
31,"Eve, why don't you call Grandma?",True,1,MQ_ADJUNCT
32,call Grandma and talk,False,0,NONE
33,"oh, you don't want To talk to Grandma.",False,0,NONE
34,alright.,False,0,NONE
35,alright.,False,0,NONE
36,I just thought she might like to hear from you.,False,0,NONE
37,uhhuh.,False,0,NONE
38,what's the man doing?,True,1,MQ_OBJ
39,you want cookie?,False,0,NONE
40,there's a cookie on the table in the room on the table with the,False,0,NONE
41,can you do it?,False,0,NONE
42,can you do it like that?,False,0,NONE
43,there.,False,0,NONE
44,that's very good.,False,0,NONE
45,that's a nice box of books.,False,0,NONE
46,what's that?,True,1,MQ_OBJ
47,"oh, it's a baby.",False,0,NONE
48,no.,False,0,NONE
49,Mommy cann't read.,False,0,NONE
50,I 'm busy.,False,0,NONE
51,you read the book.,False,0,NONE
52,"yes, that's the stool.",False,0,NONE
53,you want to sit on the stool and read the book?,False,0,NONE
