tree_id,sentence,has_trace,n_deps,final_labels_str
0,at Parent Lastname's house with Child Lastname and it is March,False,0,NONE
1,Child's!,False,0,NONE
2,"oh, I 'm sorry.",False,0,NONE
3,that's ok.,False,0,NONE
4,"February first, nineteen eighty four.",False,0,NONE
5,great.,False,0,NONE
6,and she's two years old.,False,0,NONE
7,correct.,False,0,NONE
8,ok.,False,0,NONE
9,she just turned two a month ago.,False,0,NONE
10,"do you know what a tape recorder is, Child?",True,1,EQ_OBJ
11,does she ever.,False,0,NONE
12,you have two tape players.,False,0,NONE
13,have you ever heard your voice on a tape player?,False,0,NONE
14,do you want,False,0,NONE
15,I often echo things back to her and interpret her stuff a lot.,False,0,NONE
16,because other people have trouble.,False,0,NONE
17,"right, yeah, just, just do whatever.",False,0,NONE
18,whatever you normally do.,True,1,EQ_OBJ
19,do whatever?,False,0,NONE
20,"yeah, she's telling you she has an old tape player and a new tape",False,0,NONE
21,"two tapes, you have an old raffif tape and a new raffif tape.",False,0,NONE
22,what other tapes do you have?,True,1,MQ_OBJ
23,an Ernie tape and a red tape.,False,0,NONE
24,you can write on that if you want to.,True,1,EQ_POLAR
25,do you want *PRO* to use that pen?,False,0,NONE
26,it doesn't look like mine but it writes.,False,0,NONE
27,we could do something else.,False,0,NONE
28,"we could look in here, there's some toys in here.",False,0,NONE
29,there's some toys in that bag.,False,0,NONE
30,Investigator would let you look in the bag.,False,0,NONE
31,do you want *PRO* to?,False,0,NONE
32,yeah?,False,0,NONE
33,go ahead.,False,0,NONE
34,it's a grab bag.,False,0,NONE
35,what's in there?,True,1,MQ_SUBJ
36,what is it?,True,1,MQ_OBJ
37,a birdie.,False,0,NONE
38,do you want *PRO* to play with it?,False,0,NONE
39,can you put that on your hand?,False,0,NONE
40,what do you think the kitty would think of the birdie?,True,1,EQ_OBJ
41,you want me to put it on?,False,0,NONE
42,"hi, Child.",False,0,NONE
43,can you give me a hug?,False,0,NONE
44,"oh, that's nice, a hug for the birdie, that's nice.",False,0,NONE
45,hi.,False,0,NONE
46,do you have any puppets?,False,0,NONE
47,do you want the birdie to talk with Investigator?,False,0,NONE
48,what should the birdie say?,True,1,MQ_OBJ
49,up?,False,0,NONE
50,they go up in the air?,False,0,NONE
51,hummmmmmmmmo.,False,0,NONE
52,what else goes up in the air?,True,1,MQ_SUBJ
53,birds go up in the air.,False,0,NONE
54,what else goes up in the air?,True,1,MQ_SUBJ
