tree_id,sentence,has_trace,n_deps
0,you more cookies?,False,0
1,how about another graham cracker?,False,0
2,would that do just as well?,False,0
3,here.,False,0
4,here you go.,False,0
5,you have another cookie right on the table.,False,0
6,more juice?,False,0
7,would you like more grape juice?,False,0
8,where's your cup?,True,1
9,"oh, I took it.",False,0
10,I think that was Fraser.,False,0
11,I 'm not sure.,False,0
12,what?,False,0
13,are you saying Fraser?,False,0
14,Mr Fraser?,False,0
15,"yes, that's much better.",False,0
16,Mr Fraser?,False,0
17,what is that?,True,1
18,huh?,False,0
19,what is that?,True,1
20,"yes, a fly.",False,0
21,why don't you go in the room and kill a fly?,True,1
22,you go in the room and kill a fly.,False,0
23,"yes, you get a fly.",False,0
24,you get one.,False,0
25,are you finished with your juice?,False,0
26,"well, go and get your telephone.",False,0
27,"yes, he gave you your telephone.",False,0
28,"who are you calling, Eve?",True,1
29,who?,False,0
30,what's that *NULL* you're doing?,True,2
31,"Eve, why don't you call Grandma?",True,1
32,call Grandma and talk,False,0
33,"oh, you don't want To talk to Grandma.",False,0
34,alright.,False,0
35,alright.,False,0
36,I just thought she might like to hear from you.,False,0
37,uhhuh.,False,0
38,what's the man doing?,True,1
39,you want cookie?,False,0
40,there's a cookie on the table in the room on the table with the,False,0
41,can you do it?,False,0
42,can you do it like that?,False,0
43,there.,False,0
44,that's very good.,False,0
45,that's a nice box of books.,False,0
46,what's that?,True,1
47,"oh, it's a baby.",False,0
48,no.,False,0
49,Mommy cann't read.,False,0
50,I 'm busy.,False,0
51,you read the book.,False,0
52,"yes, that's the stool.",False,0
53,you want to sit on the stool and read the book?,False,0
54,"Mr Fraser, yes, Mr Fraser.",False,0
55,your cookie's there on the table.,False,0
56,did you eat it?,False,0
57,"yes, you ate it.",False,0
58,I'll give you another.,False,0
59,just a little one.,False,0
60,just a little one.,False,0
61,yes.,False,0
62,"little one, yes.",False,0
63,what?,False,0
64,"no, no more, Eve.",False,0
65,we'll have lunch in a little while.,False,0
66,you eat any more crackers.,False,0
67,milk?,False,0
68,"no, you don't want milk, honey.",False,0
69,you've just had some juice.,False,0
70,where's the rest of your juice?,True,1
71,how about a drink of water?,False,0
72,what is that?,True,1
73,that's Mr Fraser.,False,0
74,"there, drink the water.",False,0
75,"no, I don't think Mr Fraser wants any water.",False,0
76,what?,False,0
77,bye?,False,0
78,where are you going?,True,1
79,will you ask Mr Fraser if he'd like a drink of water?,True,1
80,I don't think so.,False,0
81,Mr Fraser has coffee.,False,0
82,Mr Fraser's drinking coffee.,False,0
83,what is that?,True,1
84,coffee.,False,0
85,"yes, he's drinking his coffee.",False,0
86,right.,False,0
87,that's Mr Fraser's coffee.,False,0
88,you want down?,False,0
89,there you go.,False,0
90,now what?,False,0
91,"no more cookies, Eve.",False,0
92,later we'll have a cookie.,False,0
93,we'll have a cookie later.,False,0
94,what?,False,0
95,what?,False,0
96,"oh, what's that?",True,1
97,your hat?,False,0
98,and what did you do with it?,True,1
99,maybe your dolly would like a bottle.,False,0
100,think she would?,False,0
101,come see if we can find dolly's bottle.,True,1
102,give dolly her bottle.,False,0
103,what are you doing?,True,1
104,what are you doing?,True,1
105,bottle?,False,0
106,what?,False,0
107,I don't know what you're saying about the hat.,True,1
108,what about the hat?,False,0
109,"oh, Mr Fraser's hat.",False,0
110,Mr Fraser doesn't have a hat.,False,0
111,he doesn't have a hat.,False,0
112,would he like to have Eve's hat?,False,0
113,he would.,False,0
114,go see if he would like to have it on.,True,1
115,what's wrong with your eye?,True,1
116,what is that?,True,1
117,what do you want me to do with it?,True,1
118,hmm?,False,0
119,what do you want me to do with it?,True,1
120,do you want me to turn it for you?,False,0
121,"yes, there's soldiers on the radio.",False,0
122,there's two soldiers.,False,0
123,soldiers.,False,0
124,uhhuh.,False,0
125,two soldiers.,False,0
126,bring it here.,False,0
127,what's that?,True,1
128,that's Jack and Jill.,False,0
129,"Mr Fraser doesn't have a hat, darling.",False,0
130,he doesn't have a hat.,False,0
131,Eve has a hat.,False,0
132,what?,False,0
133,"oh, you're going To find it.",False,0
134,oh.,False,0
135,hmm?,False,0
136,want me to turn it?,False,0
137,there.,False,0
138,man?,False,0
139,who is that man?,True,1
140,Eve?,False,0
141,you're Eve.,False,0
142,what's that man's name?,True,1
143,"oh, down.",False,0
144,do you wanT To come up and sit on my lap?,False,0
145,that'll keep you busy.,False,0
146,busy.,False,0
147,yes.,False,0
148,that'll keep you busy.,False,0
149,yes.,False,0
150,that'll keep Eve busy.,False,0
151,"there, you write a letter.",False,0
152,what about the pencil?,False,0
153,"okay man, a pencil.",False,0
154,"no, that's Eve's pencil.",False,0
155,that's your pencil.,False,0
156,you write with it.,False,0
157,the man's writing with this pencil.,False,0
158,what about the man?,False,0
159,he wanted to see you.,False,0
160,he did?,False,0
161,"well, what are you doing in the corner?",True,1
162,what?,False,0
163,"oh, you're going to read.",False,0
164,alright.,False,0
165,you sit in the corner and read.,False,0
166,yes.,False,0
167,there's lots of shoes in that book.,False,0
168,what is that?,True,1
169,"yes, shoe.",False,0
170,you're what?,False,0
171,Mommy's book?,False,0
172,"no, that's Eve's book.",False,0
173,"yes, that's Racketyboom.",False,0
174,"yes, that's Racketyboom.",False,0
175,"no, Mommy's not going To read.",False,0
176,"Eve, read book.",False,0
177,you read the book.,False,0
178,"no, Mommy cann't read.",False,0
179,Mommy's busy.,False,0
180,"Eve, read.",False,0
181,"yes, you read about the choochoo.",False,0
182,Mommy'll read later.,False,0
183,I'll read to you later.,False,0
184,come.,False,0
185,where're you going?,True,1
186,"oh, the choochoo is coming?",False,0
187,what?,False,0
188,you want some milk?,False,0
189,we'll have milk for lunch.,False,0
190,cup?,False,0
191,that's not a cup.,False,0
192,that's the top.,False,0
193,that's the top to a jar.,False,0
194,what is that?,True,1
195,what?,False,0
196,what is that?,True,1
197,what is it?,True,1
198,quacko quacko.,False,0
199,yes.,False,0
200,the ducks say what?,False,0
201,what is that?,True,1
202,what?,False,0
203,radio.,False,0
204,what'll you do with it?,True,1
205,hat?,False,0
206,where is your hat *T*-1?,False,0
207,I don't have it.,False,0
208,go find it.,False,0
209,go find your hat.,False,0
210,"oh, that's so pretty.",False,0
211,what do you want me to do?,True,1
212,yeah.,False,0
213,okay.,False,0
214,book.,False,0
215,is that Racketyboom?,False,0
216,why don't you put Racketyboom back in the toy box?,True,1
217,because I 'm tired of stepping on it.,False,0
218,stool.,False,0
219,yes.,False,0
220,you going to sit on that stool?,False,0
221,"no, the man'll sit in the chair.",False,0
222,what?,False,0
223,what are you doing?,True,1
224,who's sitting?,True,1
225,Neil?,False,0
226,"no, Neil's not going to sit.",False,0
227,no.,False,0
228,"no, Eve's sitting on the stool.",False,0
229,Neil?,False,0
230,"no, Neil doesn't sit on the stool.",False,0
231,get what?,False,0
232,get what?,False,0
233,that.,False,0
234,what this?,False,0
235,is that what you want?,True,1
236,what?,False,0
237,"Neil, sit.",False,0
238,good girl.,False,0
239,"yes, that was a good girl.",False,0
240,what are you doing?,True,1
241,that's a seat.,False,0
242,that's Eve's seat.,False,0
243,"yes, Eve's seat.",False,0
244,are you alright?,False,0
245,what is that?,True,1
246,farmer and what else?,False,0
247,Sambo.,False,0
248,"no, you read, Sambo.",False,0
249,because I 'm busy.,False,0
250,I 'm making lunch.,False,0
251,what did you do?,True,1
252,"yes, you hit your head.",False,0
253,what do you want?,True,1
254,paper.,False,0
