tree_id,sentence,has_trace,n_deps
0,he's all tired out.,False,0
1,his name is Rinny from Rin_tin_tin.,False,0
2,"see, he's just playing, honey.",False,0
3,he doesn't want to chase you.,False,0
4,that's alright.,False,0
5,he doesn't want to bother you.,False,0
6,"well, Rinny, come on in here.",False,0
7,is that a good song?,False,0
8,what were you singing?,True,1
9,what about all those things in that basket?,False,0
10,shall we just take the basket outside?,False,0
11,what about those things?,False,0
12,aren't they toys?,False,0
13,so it be a what?,False,0
14,a what?,False,0
15,a buttomc?,False,0
16,what is that?,True,1
17,what way?,False,0
18,he's looking around?,False,0
19,you're a silly silly boy.,False,0
20,"oh, what is that?",True,1
21,a yoyo.,False,0
22,can you use it?,False,0
23,you put the string in here.,False,0
24,Paul was watching and his head was going up and down.,False,0
25,when you get it down you have to jerk it a little so it will come.,True,1
26,"oh yes, you can.",False,0
27,now pull it.,False,0
28,no.,False,0
29,"what're you doing over in the corner, Paul?",True,1
30,it takes time to learn how to use it properly.,True,1
31,"yes, you did a little.",False,0
32,"yes, it's very easy to get off.",False,0
33,what?,False,0
34,what?,False,0
35,what does that mean?,True,1
36,that's the name of the toy.,False,0
37,"yes, it's my turn.",False,0
38,yes.,False,0
39,some what?,False,0
40,some glasses.,False,0
41,now pull it up.,False,0
42,"Paul, stop.",False,0
43,"yes, so it willn't be difficult to get it out.",False,0
44,put it on your middle finger.,False,0
45,how did you hurt it?,True,1
46,because it's easier to do I think.,False,0
47,probably.,False,0
48,"just pull it straight up, alright.",False,0
49,"yes, that's all *NULL* you have to do.",True,1
50,because those are pretty colors.,False,0
51,"oh yes, I think you're getting it.",False,0
52,"oh yes, when you're learning things you have to miss sometimes.",True,1
53,what?,False,0
54,you just what?,False,0
55,what kind of work do you do?,True,1
56,"oh, it's your business.",False,0
57,"no, don't pull them, Adam.",False,0
58,"good, Adam.",False,0
59,almost.,False,0
60,pull the string up.,False,0
61,"oh, you have big glasses.",False,0
62,I think Paul would like to see you.,False,0
63,"oh, you are?",False,0
64,"oh, I 'm green?",False,0
65,"oh, I don't mind.",False,0
66,when you take the glasses off am I still green?,True,1
67,Paul doesn't know what to think about you.,True,1
68,"let him have a turn, alright?",False,0
69,alright.,False,0
70,it's your turn.,False,0
71,that was long ago.,False,0
72,what light?,False,0
73,who's in your chair?,True,1
74,you did what?,False,0
75,"you did what, Adam?",False,0
76,did you try to open it?,False,0
77,I don't think that duck can drive very well.,False,0
78,I don't think that duck can drive very well.,False,0
79,he knocked the pig off and ran over the goat.,False,0
80,he's a dangerous driver.,False,0
81,I don't think that's sixty four.,False,0
82,his mother locked the door?,False,0
83,why?,False,0
84,"oh no, I saw it.",False,0
85,"the duck didn't get hurt, did he?",False,0
86,"oh, he doesn't know where he's driving?",True,1
87,"no, you have that and Paul is playing with that.",False,0
88,Paul is playing with the trailer because you had the barn.,False,0
89,"oh, I don't know.",False,0
90,I should think you could find a parking space almost any place.,False,0
91,he what?,False,0
92,"oh, now he's a very good driver?",False,0
93,you're caught by a fish?,False,0
94,is that brown one a duck too?,False,0
95,"yes, since Paul's playing with the barn.",False,0
96,"look, Adam.",False,0
97,"yes, Paul had the glasses on.",False,0
98,I don't think he'll let me.,False,0
99,yes.,False,0
100,how did you break your window?,True,1
101,what window?,False,0
102,where?,False,0
103,I don't think I understand what you're talking about?,True,1
104,you mean the windshield like that?,False,0
105,on the car?,False,0
106,"oh yes, I don't know where that is.",True,1
107,what light?,False,0
108,oh yes.,False,0
109,I 'm sure it must be on.,False,0
110,you let him use that while you're driving the car?,False,0
111,yes.,False,0
112,I guess he was just measuring the string to see how long it was.,True,1
113,you don't want anything in there?,False,0
114,this is a real microscope.,False,0
115,microscope.,False,0
116,don't you want to look through here first?,False,0
117,mmhm.,False,0
118,we need a small mirror.,False,0
119,"no, a tiny mirror.",False,0
120,we need something *NULL* to look at.,True,1
121,we could use a hair.,False,0
122,because we're going to look at it under a microscope.,False,0
123,I didn't bring him.,False,0
124,he came by himself.,False,0
125,he came in through the open door.,False,0
126,"Rinny, no no.",False,0
127,"no, I see some big ropes.",False,0
128,"Paul, no no.",False,0
129,can you look through that hole?,False,0
130,"no, look through the hole, honey.",False,0
131,did you see it?,False,0
132,"it's what you call a mechanical toy, yes.",True,1
133,no no.,False,0
134,it does what?,False,0
135,"oh, I suppose it's something *NULL* you can make.",True,1
136,"different things, different shapes.",False,0
137,a what?,False,0
138,a fish cart?,False,0
139,why do you lock the animals up at night?,True,1
140,what kind of food do you have?,True,1
141,what kind is that?,True,1
142,I don't know what ice vanilla food is.,True,1
143,what is it?,True,1
144,let Paul have one.,False,0
145,can you do what?,False,0
146,what do you have?,True,1
147,some what?,False,0
148,what kind of food?,False,0
149,a what?,False,0
150,what kind of head?,False,0
151,can you?,False,0
152,is it now a bicycle?,False,0
153,some what?,False,0
154,yes.,False,0
155,some for my little baby and Ursula.,False,0
156,"no, I didn't.",False,0
157,thank you.,False,0
158,alright.,False,0
159,what?,False,0
160,alright.,False,0
161,alright.,False,0
162,I have it.,False,0
163,it's alright.,False,0
164,does he want what?,False,0
165,kings?,False,0
166,what are those?,True,1
167,and what will the poor cow do?,True,1
168,you have two friends in there?,False,0
169,"how many shapes can you make with that, Adam?",True,1
170,that's one.,False,0
171,"two, three.",False,0
172,"oh, you mean a crown.",False,0
173,you mean a fish net.,False,0
174,"oh, what will she do.",True,1
175,poor little cow.,False,0
176,"oh, very good.",False,0
177,why don't you just sit on your bed.,True,1
178,"that's a doggie, isn't it?",False,0
179,"oh, he's swinging.",False,0
180,oh very.,False,0
181,careful of my long white beard.,False,0
182,do you live on a farm?,False,0
183,yes.,False,0
184,what's your name?,True,1
185,dragon.,False,0
186,I never saw a dragon on a farm before.,False,0
187,do you live in a barnyard?,False,0
188,yes.,False,0
189,"clucko clucko clucko, do you live up in the mountains?",False,0
190,on the farm.,False,0
191,are you a baby dragon or a papa dragon?,False,0
192,yes.,False,0
193,I 'm a mommy chicken and I've got seventeen baby chicks.,False,0
194,hello.,False,0
195,you do.,False,0
196,I've never seen you on my farm.,False,0
197,"oh, where's your farm?",True,1
198,"oh, I see.",False,0
199,would you like some of my salt?,False,0
200,don't you eat my chickens.,False,0
201,you're a funny little boy.,False,0
202,"Mr Dragon, you don't like blocks?",False,0
203,ice.,False,0
204,do you get ice on the farm?,False,0
205,"oh no, that's my beard.",False,0
206,"oh please, don't, Mr Dragon.",False,0
