tree_id,sentence,has_trace,n_deps,final_labels_str
0,he's all tired out.,False,0,NONE
1,his name is Rinny from Rin_tin_tin.,False,0,NONE
2,"see, he's just playing, honey.",False,0,NONE
3,he doesn't want to chase you.,False,0,NONE
4,that's alright.,False,0,NONE
5,he doesn't want to bother you.,False,0,NONE
6,"well, Rinny, come on in here.",False,0,NONE
7,is that a good song?,False,0,NONE
8,what were you singing?,True,1,MQ_OBJ
9,what about all those things in that basket?,False,0,NONE
10,shall we just take the basket outside?,False,0,NONE
11,what about those things?,False,0,NONE
12,aren't they toys?,False,0,NONE
13,so it be a what?,False,0,NONE
14,a what?,False,0,NONE
15,a buttomc?,False,0,NONE
16,what is that?,True,1,MQ_OBJ
17,what way?,False,0,NONE
18,he's looking around?,False,0,NONE
19,you're a silly silly boy.,False,0,NONE
20,"oh, what is that?",True,1,MQ_OBJ
21,a yoyo.,False,0,NONE
22,can you use it?,False,0,NONE
23,you put the string in here.,False,0,NONE
24,Paul was watching and his head was going up and down.,False,0,NONE
25,when you get it down you have to jerk it a little so it will come.,True,1,EQ_ADJUNCT
26,"oh yes, you can.",False,0,NONE
27,now pull it.,False,0,NONE
28,no.,False,0,NONE
29,"what're you doing over in the corner, Paul?",True,1,MQ_OBJ
30,it takes time to learn how to use it properly.,True,1,EQ_ADJUNCT
31,"yes, you did a little.",False,0,NONE
32,"yes, it's very easy to get off.",False,0,NONE
33,what?,False,0,NONE
34,what?,False,0,NONE
35,what does that mean?,True,1,MQ_OBJ
36,that's the name of the toy.,False,0,NONE
37,"yes, it's my turn.",False,0,NONE
38,yes.,False,0,NONE
39,some what?,False,0,NONE
40,some glasses.,False,0,NONE
41,now pull it up.,False,0,NONE
42,"Paul, stop.",False,0,NONE
43,"yes, so it willn't be difficult to get it out.",False,0,NONE
44,put it on your middle finger.,False,0,NONE
45,how did you hurt it?,True,1,MQ_ADJUNCT
46,because it's easier to do I think.,False,0,NONE
47,probably.,False,0,NONE
48,"just pull it straight up, alright.",False,0,NONE
49,"yes, that's all *NULL* you have to do.",True,1,RC_OBJ
50,because those are pretty colors.,False,0,NONE
51,"oh yes, I think you're getting it.",False,0,NONE
52,"oh yes, when you're learning things you have to miss sometimes.",True,1,EQ_ADJUNCT
53,what?,False,0,NONE
54,you just what?,False,0,NONE
55,what kind of work do you do?,True,1,MQ_OBJ
56,"oh, it's your business.",False,0,NONE
57,"no, don't pull them, Adam.",False,0,NONE
58,"good, Adam.",False,0,NONE
59,almost.,False,0,NONE
60,pull the string up.,False,0,NONE
61,"oh, you have big glasses.",False,0,NONE
62,I think Paul would like to see you.,False,0,NONE
63,"oh, you are?",False,0,NONE
64,"oh, I 'm green?",False,0,NONE
65,"oh, I don't mind.",False,0,NONE
66,when you take the glasses off am I still green?,True,1,EQ_ADJUNCT
67,Paul doesn't know what to think about you.,True,1,EQ_OBJ
68,"let him have a turn, alright?",False,0,NONE
69,alright.,False,0,NONE
70,it's your turn.,False,0,NONE
71,that was long ago.,False,0,NONE
72,what light?,False,0,NONE
73,who's in your chair?,True,1,MQ_SUBJ
74,you did what?,False,0,NONE
75,"you did what, Adam?",False,0,NONE
76,did you try to open it?,False,0,NONE
77,I don't think that duck can drive very well.,False,0,NONE
78,I don't think that duck can drive very well.,False,0,NONE
79,he knocked the pig off and ran over the goat.,False,0,NONE
80,he's a dangerous driver.,False,0,NONE
81,I don't think that's sixty four.,False,0,NONE
82,his mother locked the door?,False,0,NONE
83,why?,False,0,NONE
84,"oh no, I saw it.",False,0,NONE
85,"the duck didn't get hurt, did he?",False,0,NONE
86,"oh, he doesn't know where he's driving?",True,1,EQ_ADJUNCT
87,"no, you have that and Paul is playing with that.",False,0,NONE
88,Paul is playing with the trailer because you had the barn.,False,0,NONE
89,"oh, I don't know.",False,0,NONE
90,I should think you could find a parking space almost any place.,False,0,NONE
91,he what?,False,0,NONE
92,"oh, now he's a very good driver?",False,0,NONE
93,you're caught by a fish?,False,0,NONE
94,is that brown one a duck too?,False,0,NONE
95,"yes, since Paul's playing with the barn.",False,0,NONE
96,"look, Adam.",False,0,NONE
97,"yes, Paul had the glasses on.",False,0,NONE
98,I don't think he'll let me.,False,0,NONE
99,yes.,False,0,NONE
100,how did you break your window?,True,1,MQ_ADJUNCT
101,what window?,False,0,NONE
102,where?,False,0,NONE
