tree_id,sentence,has_trace,n_deps,final_labels_str
0,so you can put it in a notebook if you like.,True,1,EQ_POLAR
1,what happened?,True,1,MQ_SUBJ
2,you didn't.,False,0,NONE
3,shall we look at these first?,False,0,NONE
4,it's a watch.,False,0,NONE
5,what is it?,True,1,MQ_OBJ
6,what?,False,0,NONE
7,where?,False,0,NONE
8,you could use the paper.,False,0,NONE
9,"you don't need to make it so long, Adam.",False,0,NONE
10,thank you.,False,0,NONE
11,what color is this?,True,1,MQ_OBJ
12,"no, he cann't have one.",False,0,NONE
13,he's too little.,False,0,NONE
14,you going to tell her a story?,False,0,NONE
15,alright.,False,0,NONE
16,"no, that's alright, Adam.",False,0,NONE
17,"she doesn't have any games in that one, Adam.",False,0,NONE
18,"what is that, Adam?",True,1,MQ_OBJ
19,it's a what?,False,0,NONE
20,may I see it?,False,0,NONE
21,it's a mirror?,False,0,NONE
22,what do you see in the mirror?,True,1,MQ_OBJ
23,"here, take it back to Ursula.",False,0,NONE
24,it's a watch?,False,0,NONE
25,what kind of watch?,False,0,NONE
26,yes.,False,0,NONE
27,does it look like Daddy's watch?,False,0,NONE
28,it looks like Daddy's watch?,False,0,NONE
29,oh.,False,0,NONE
30,no.,False,0,NONE
31,it doesn't have a band.,False,0,NONE
32,hmm?,False,0,NONE
33,maybe it's in here.,False,0,NONE
34,"oh, what're you going to do?",True,1,MQ_OBJ
35,"oh, I see.",False,0,NONE
36,"oh, I see.",False,0,NONE
37,"ok, I'll hold it.",False,0,NONE
38,it willn't stay there.,False,0,NONE
39,you'd better take it back to Ursula.,False,0,NONE
40,you've never seen a watch?,False,0,NONE
41,"oh, that's not a chair.",False,0,NONE
42,at least not like that anyway.,False,0,NONE
43,I think you'd better take the watch back to Ursula.,False,0,NONE
44,you have to be careful or it willn't work properly.,False,0,NONE
45,"Adam, let me see.",False,0,NONE
46,how did you attach that?,True,1,MQ_ADJUNCT
47,that's good.,False,0,NONE
48,shall we put this away and find something else?,False,0,NONE
49,we could put this in the box.,False,0,NONE
50,what is it?,True,1,MQ_OBJ
51,"careful, Adam.",False,0,NONE
52,show your Mother and ask her if it's safe.,True,1,EQ_POLAR
53,I don't think so.,False,0,NONE
54,I know what you can do.,True,1,EQ_OBJ
55,just take one paper and then find one that you'd like to make.,True,1,RC_OBJ
56,why don't you use some of the other tape that Ursula gave you?,True,2,MQ_ADJUNCT;RC_OBJ
57,why don't you use some of this?,True,1,MQ_ADJUNCT
58,not cut it off.,False,0,NONE
59,"no, look.",False,0,NONE
60,cut it off on there.,False,0,NONE
61,that's right.,False,0,NONE
62,that's a little cutting edge.,False,0,NONE
63,"well, cut it off.",False,0,NONE
64,"no no, don't use it all at one time, honey.",False,0,NONE
65,I 'm helping you cut it.,False,0,NONE
66,see there where your finger is?,True,1,EQ_ADJUNCT
67,put it there and then you cut it.,False,0,NONE
68,"oh no, I don't think we want a road, do we?",False,0,NONE
69,"here, let's make it right here.",False,0,NONE
70,that's good.,False,0,NONE
71,"oh, another one.",False,0,NONE
72,why?,False,0,NONE
73,"Adam, shall I help you cut it off?",False,0,NONE
74,"that's enough, Adam.",False,0,NONE
75,alright.,False,0,NONE
76,do you want to stand up there?,False,0,NONE
77,"oh no, we can make one that's big enough right here.",True,1,RC_OBJ
78,what's my name?,True,1,MQ_OBJ
79,I didn't think it was.,False,0,NONE
80,"no no, dear, we don't use that kind of tape.",False,0,NONE
81,you're going to have to take some pennies out of your bank and give,False,0,NONE
