tree_id,sentence,has_trace,n_deps
0,at Parent Lastname's house with Child Lastname and it is March,False,0
1,Child's!,False,0
2,"oh, I 'm sorry.",False,0
3,that's ok.,False,0
4,"February first, nineteen eighty four.",False,0
5,great.,False,0
6,and she's two years old.,False,0
7,correct.,False,0
8,ok.,False,0
9,she just turned two a month ago.,False,0
10,"do you know what a tape recorder is, Child?",True,1
11,does she ever.,False,0
12,you have two tape players.,False,0
13,have you ever heard your voice on a tape player?,False,0
14,do you want,False,0
15,I often echo things back to her and interpret her stuff a lot.,False,0
16,because other people have trouble.,False,0
17,"right, yeah, just, just do whatever.",False,0
18,whatever you normally do.,True,1
19,do whatever?,False,0
20,"yeah, she's telling you she has an old tape player and a new tape",False,0
21,"two tapes, you have an old raffif tape and a new raffif tape.",False,0
22,what other tapes do you have?,True,1
23,an Ernie tape and a red tape.,False,0
24,you can write on that if you want to.,True,1
25,do you want *PRO* to use that pen?,False,0
26,it doesn't look like mine but it writes.,False,0
27,we could do something else.,False,0
28,"we could look in here, there's some toys in here.",False,0
29,there's some toys in that bag.,False,0
30,Investigator would let you look in the bag.,False,0
31,do you want *PRO* to?,False,0
32,yeah?,False,0
33,go ahead.,False,0
34,it's a grab bag.,False,0
35,what's in there?,True,1
36,what is it?,True,1
37,a birdie.,False,0
38,do you want *PRO* to play with it?,False,0
39,can you put that on your hand?,False,0
40,what do you think the kitty would think of the birdie?,True,1
41,you want me to put it on?,False,0
42,"hi, Child.",False,0
43,can you give me a hug?,False,0
44,"oh, that's nice, a hug for the birdie, that's nice.",False,0
45,hi.,False,0
46,do you have any puppets?,False,0
47,do you want the birdie to talk with Investigator?,False,0
48,what should the birdie say?,True,1
49,up?,False,0
50,they go up in the air?,False,0
51,hummmmmmmmmo.,False,0
52,what else goes up in the air?,True,1
53,birds go up in the air.,False,0
54,what else goes up in the air?,True,1
55,what else goes up in the air?,True,1
56,do you want it?,False,0
57,here you go.,False,0
58,"oh, it's a bird.",False,0
59,"hi, bird.",False,0
60,"hi, bird, you have a pretty yellow mouth.",False,0
61,oh.,False,0
62,what does the bird eat?,True,1
63,what does the bird eat?,True,1
64,"oh, he gave me a kiss.",False,0
65,and a hug.,False,0
66,what do you think the birdie would like *PRO* to eat?,True,1
67,"oh, we have a birdie in your poem.",False,0
68,what does that birdie eat?,True,1
69,there are his eyes.,False,0
70,there are his eyes.,False,0
71,how many?,False,0
72,two eyes.,False,0
73,"one, two.",False,0
74,there's his nose.,False,0
75,"oh, you put your hand right in his mouth.",False,0
76,is he trying to eat the sofa?,False,0
77,that would make a very strange breakfast for a bird.,False,0
78,good morning.,False,0
79,what do you think this is?,True,1
80,I don't even know.,False,0
81,"oh, what just happened?",True,1
82,what just happened?,True,1
83,do you think your dolly would like to see the bird?,False,0
84,she's over in the stroller.,False,0
85,bring her over.,False,0
86,there she is.,False,0
87,hmm?,False,0
88,you putting the baby in?,False,0
89,aren't you going to bring her over to see the bird?,True,1
90,run away.,False,0
91,we can play tag around the house for hours.,False,0
92,I bet.,False,0
93,you bet?,False,0
94,Child.,False,0
95,"oh, what's that?",True,1
96,"that's right, baby and mommy.",False,0
97,"oh, show Investigator?",False,0
98,whose baby is that?,True,1
99,who is that?,True,1
100,"no, who's that?",True,1
101,"what baby is that, what's that baby's name?",True,2
102,that's Baba.,False,0
103,but what's the baby's name?,True,1
104,"that's right, that's you.",False,0
105,what are you doing?,True,1
106,you're in the juice.,False,0
107,you're in the juice.,False,0
108,what's this?,True,1
109,"yeah, that's a bird.",False,0
110,is it really a red bird?,False,0
